Numero de la station;Nom de la station;Jour;Heure;tm;glot;um
97416465;Ligne Paradis;01/01/2020 00:00;0;24.2;0;90
97416465;Ligne Paradis;01/01/2020 01:00;1;24.4;0;92
97416465;Ligne Paradis;01/01/2020 02:00;2;23;0;91
97416465;Ligne Paradis;01/01/2020 03:00;3;22.4;0;90
97416465;Ligne Paradis;01/01/2020 04:00;4;23.1;0;91
97416465;Ligne Paradis;01/01/2020 05:00;5;23.5;0;91
97416465;Ligne Paradis;01/01/2020 06:00;6;23.7;1;85
97416465;Ligne Paradis;01/01/2020 07:00;7;24.6;21;80
97416465;Ligne Paradis;01/01/2020 08:00;8;24.7;48;78
97416465;Ligne Paradis;01/01/2020 09:00;9;26.2;133;75
97416465;Ligne Paradis;01/01/2020 10:00;10;26.8;175;76
97416465;Ligne Paradis;01/01/2020 11:00;11;27;166;73
97416465;Ligne Paradis;01/01/2020 12:00;12;28.5;272;72
97416465;Ligne Paradis;01/01/2020 13:00;13;28;377;71
97416465;Ligne Paradis;01/01/2020 14:00;14;27.7;274;73
97416465;Ligne Paradis;01/01/2020 15:00;15;29.7;261;75
97416465;Ligne Paradis;01/01/2020 16:00;16;29;236;77
97416465;Ligne Paradis;01/01/2020 17:00;17;27.7;188;78
97416465;Ligne Paradis;01/01/2020 18:00;18;27.1;107;81
97416465;Ligne Paradis;01/01/2020 19:00;19;26.4;45;85
97416465;Ligne Paradis;01/01/2020 20:00;20;25.9;0;87
97416465;Ligne Paradis;01/01/2020 21:00;21;24.4;0;89
97416465;Ligne Paradis;01/01/2020 22:00;22;24.5;0;90
97416465;Ligne Paradis;01/01/2020 23:00;23;24.7;0;91
97416465;Ligne Paradis;02/01/2020 00:00;0;23.8;0;92
97416465;Ligne Paradis;02/01/2020 01:00;1;23.1;0;91
97416465;Ligne Paradis;02/01/2020 02:00;2;23.1;0;89
97416465;Ligne Paradis;02/01/2020 03:00;3;22.7;0;88
97416465;Ligne Paradis;02/01/2020 04:00;4;22.4;0;89
97416465;Ligne Paradis;02/01/2020 05:00;5;22.9;0;86
97416465;Ligne Paradis;02/01/2020 06:00;6;23;1;82
97416465;Ligne Paradis;02/01/2020 07:00;7;25.2;21;80
97416465;Ligne Paradis;02/01/2020 08:00;8;26.9;67;76
97416465;Ligne Paradis;02/01/2020 09:00;9;27.8;118;74
97416465;Ligne Paradis;02/01/2020 10:00;10;27.8;168;72
97416465;Ligne Paradis;02/01/2020 11:00;11;29.4;194;76
97416465;Ligne Paradis;02/01/2020 12:00;12;27.5;244;75
97416465;Ligne Paradis;02/01/2020 13:00;13;28.1;243;74
97416465;Ligne Paradis;02/01/2020 14:00;14;28.5;189;75
97416465;Ligne Paradis;02/01/2020 15:00;15;27.3;177;77
97416465;Ligne Paradis;02/01/2020 16:00;16;27;122;78
97416465;Ligne Paradis;02/01/2020 17:00;17;26.9;95;82
97416465;Ligne Paradis;02/01/2020 18:00;18;26.6;59;85
97416465;Ligne Paradis;02/01/2020 19:00;19;24.3;25;83
97416465;Ligne Paradis;02/01/2020 20:00;20;24.6;0;86
97416465;Ligne Paradis;02/01/2020 21:00;21;24.6;0;87
97416465;Ligne Paradis;02/01/2020 22:00;22;24.1;0;86
97416465;Ligne Paradis;02/01/2020 23:00;23;24.3;0;84
97416465;Ligne Paradis;03/01/2020 00:00;0;24;0;88
97416465;Ligne Paradis;03/01/2020 01:00;1;23.3;0;86
97416465;Ligne Paradis;03/01/2020 02:00;2;23.4;0;86
97416465;Ligne Paradis;03/01/2020 03:00;3;23.4;0;87
97416465;Ligne Paradis;03/01/2020 04:00;4;23.5;0;87
97416465;Ligne Paradis;03/01/2020 05:00;5;23.7;0;85
97416465;Ligne Paradis;03/01/2020 06:00;6;23.5;0;78
97416465;Ligne Paradis;03/01/2020 07:00;7;23.8;9;74
97416465;Ligne Paradis;03/01/2020 08:00;8;25.4;30;72
97416465;Ligne Paradis;03/01/2020 09:00;9;26.9;54;77
97416465;Ligne Paradis;03/01/2020 10:00;10;26.1;76;71
97416465;Ligne Paradis;03/01/2020 11:00;11;27;86;73
97416465;Ligne Paradis;03/01/2020 12:00;12;26.6;112;73
97416465;Ligne Paradis;03/01/2020 13:00;13;28.2;112;73
97416465;Ligne Paradis;03/01/2020 14:00;14;27.6;88;73
97416465;Ligne Paradis;03/01/2020 15:00;15;26.2;81;73
97416465;Ligne Paradis;03/01/2020 16:00;16;23.4;53;76
97416465;Ligne Paradis;03/01/2020 17:00;17;23.1;41;77
97416465;Ligne Paradis;03/01/2020 18:00;18;23.1;27;82
97416465;Ligne Paradis;03/01/2020 19:00;19;23.4;12;87
97416465;Ligne Paradis;03/01/2020 20:00;20;23.3;0;90
97416465;Ligne Paradis;03/01/2020 21:00;21;23.3;0;92
97416465;Ligne Paradis;03/01/2020 22:00;22;23.7;0;92
97416465;Ligne Paradis;03/01/2020 23:00;23;23.3;0;93
97416465;Ligne Paradis;04/01/2020 00:00;0;23.2;0;87
97416465;Ligne Paradis;04/01/2020 01:00;1;22.8;0;92
97416465;Ligne Paradis;04/01/2020 02:00;2;22.8;0;92
97416465;Ligne Paradis;04/01/2020 03:00;3;22.6;0;93
97416465;Ligne Paradis;04/01/2020 04:00;4;22.5;0;92
97416465;Ligne Paradis;04/01/2020 05:00;5;22.4;0;88
97416465;Ligne Paradis;04/01/2020 06:00;6;22.8;0;86
97416465;Ligne Paradis;04/01/2020 07:00;7;23.6;7;83
97416465;Ligne Paradis;04/01/2020 08:00;8;24.6;22;79
97416465;Ligne Paradis;04/01/2020 09:00;9;25;39;74
97416465;Ligne Paradis;04/01/2020 10:00;10;25.7;56;74
97416465;Ligne Paradis;04/01/2020 11:00;11;25.7;64;74
97416465;Ligne Paradis;04/01/2020 12:00;12;25.3;82;73
97416465;Ligne Paradis;04/01/2020 13:00;13;25.1;81;76
97416465;Ligne Paradis;04/01/2020 14:00;14;24;65;77
97416465;Ligne Paradis;04/01/2020 15:00;15;24.1;60;78
97416465;Ligne Paradis;04/01/2020 16:00;16;24.4;38;77
97416465;Ligne Paradis;04/01/2020 17:00;17;25.1;30;77
97416465;Ligne Paradis;04/01/2020 18:00;18;24.8;20;83
97416465;Ligne Paradis;04/01/2020 19:00;19;23.9;8;89
97416465;Ligne Paradis;04/01/2020 20:00;20;24.3;0;92
97416465;Ligne Paradis;04/01/2020 21:00;21;23.6;0;93
97416465;Ligne Paradis;04/01/2020 22:00;22;23.6;0;91
97416465;Ligne Paradis;04/01/2020 23:00;23;24.1;0;91
97416465;Ligne Paradis;05/01/2020 00:00;0;23.5;0;93
97416465;Ligne Paradis;05/01/2020 01:00;1;23.2;0;90
97416465;Ligne Paradis;05/01/2020 02:00;2;22.6;0;90
97416465;Ligne Paradis;05/01/2020 03:00;3;22.6;0;89
97416465;Ligne Paradis;05/01/2020 04:00;4;22.5;0;89
97416465;Ligne Paradis;05/01/2020 05:00;5;22.7;0;88
97416465;Ligne Paradis;05/01/2020 06:00;6;22.7;1;84
97416465;Ligne Paradis;05/01/2020 07:00;7;24.1;21;78
97416465;Ligne Paradis;05/01/2020 08:00;8;25.5;54;72
97416465;Ligne Paradis;05/01/2020 09:00;9;26.7;92;76
97416465;Ligne Paradis;05/01/2020 10:00;10;27.1;125;72
97416465;Ligne Paradis;05/01/2020 11:00;11;26.3;100;74
97416465;Ligne Paradis;05/01/2020 12:00;12;24.1;77;71
97416465;Ligne Paradis;05/01/2020 13:00;13;26.2;114;74
97416465;Ligne Paradis;05/01/2020 14:00;14;24.4;98;70
97416465;Ligne Paradis;05/01/2020 15:00;15;24.3;58;74
97416465;Ligne Paradis;05/01/2020 16:00;16;25.4;85;73
97416465;Ligne Paradis;05/01/2020 17:00;17;25.1;100;75
97416465;Ligne Paradis;05/01/2020 18:00;18;25;42;79
97416465;Ligne Paradis;05/01/2020 19:00;19;24.6;26;84
97416465;Ligne Paradis;05/01/2020 20:00;20;23.4;0;88
97416465;Ligne Paradis;05/01/2020 21:00;21;23.4;0;90
97416465;Ligne Paradis;05/01/2020 22:00;22;23.1;0;90
97416465;Ligne Paradis;05/01/2020 23:00;23;23.2;0;92
97416465;Ligne Paradis;06/01/2020 00:00;0;22.4;0;89
97416465;Ligne Paradis;06/01/2020 01:00;1;22.3;0;88
97416465;Ligne Paradis;06/01/2020 02:00;2;22.1;0;89
97416465;Ligne Paradis;06/01/2020 03:00;3;22.2;0;87
97416465;Ligne Paradis;06/01/2020 04:00;4;22.1;0;88
97416465;Ligne Paradis;06/01/2020 05:00;5;22.2;0;87
97416465;Ligne Paradis;06/01/2020 06:00;6;22.5;1;85
97416465;Ligne Paradis;06/01/2020 07:00;7;25.4;36;83
97416465;Ligne Paradis;06/01/2020 08:00;8;27.3;130;77
97416465;Ligne Paradis;06/01/2020 09:00;9;27.5;144;72
97416465;Ligne Paradis;06/01/2020 10:00;10;28.3;228;72
97416465;Ligne Paradis;06/01/2020 11:00;11;28;310;72
97416465;Ligne Paradis;06/01/2020 12:00;12;29.8;329;71
97416465;Ligne Paradis;06/01/2020 13:00;13;27.7;235;70
97416465;Ligne Paradis;06/01/2020 14:00;14;27.9;126;71
