arbre,id_branche,id_fruit,id_UC,MS_ini,MF_rec,charge_arbre,id_charp,charge_charp
E13,1,1,155,13.09975236,484.21,0.497,51,0.196
E13,2,2,203,11.4645805,464.97,0.497,51,0.196
E13,2,a,193,,479,0.497,51,0.196
E13,2,b,134,,456,0.497,51,0.196
E13,2,c,134,,332,0.497,51,0.196
E13,2,d,134,,326,0.497,51,0.196
E13,2,e,134,,449,0.497,51,0.196
E13,3,3,,12.44693398,,0.497,,
E13,4,4,333,13.58486528,335.54,0.497,52,0.546
E13,4,a,,,364,0.497,52,0.546
E13,4,b,,,389,0.497,52,0.546
E13,4,c,,,398,0.497,52,0.546
E13,4,d,,,309,0.497,52,0.546
E13,5,5,,11.82041742,,0.497,,
E13,6,6,440,14.93662613,351,0.497,52,0.546
E13,6,a,,,384,0.497,52,0.546
E13,6,b,,,416,0.497,52,0.546
E13,6,c,,,358,0.497,52,0.546
E13,6,d,,,342,0.497,52,0.546
E13,7,7,,8.396419173,,0.497,21,0.094
E13,8,8,576,6.431085397,406.11,0.497,21,0.094
E13,8,a,,,542,0.497,21,0.094
E13,8,b,,,412,0.497,21,0.094
E13,9,9,533,12.12324066,457.58,0.497,21,0.094
E13,9,a,,,390,0.497,21,0.094
E13,9,b,,,520,0.497,21,0.094
E13,9,c,,,381,0.497,21,0.094
E13,9,d,,,463,0.497,21,0.094
E13,9,f,,,406,0.497,21,0.094
E13,9,k,,,416,0.497,21,0.094
E13,10,10,549,12.35543844,391.94,0.497,21,0.094
E13,11,11,649,6.715090626,456.34,0.497,22,0.422
E13,11,a,654,,520,0.497,22,0.422
E13,11,b,695,,301,0.497,22,0.422
E13,12,12,712,8.693601767,386.74,0.497,22,0.422
E13,12,a,621,,456,0.497,22,0.422
E13,13,13,673,13.10665775,380.32,0.497,22,0.422
E13,13,a,673,,473,0.497,22,0.422
E13,13,b,670,,476,0.497,22,0.422
E13,14,14,755,18.76526071,464.4,0.497,22,0.422
E13,14,a,753,,362,0.497,22,0.422
E13,14,b,748,,363,0.497,22,0.422
E13,14,c,748,,362,0.497,22,0.422
E13,14,d,765,,452,0.497,22,0.422
E13,14,e,765,,464,0.497,22,0.422
E13,14,f,781,,508,0.497,22,0.422
E13,14,g,782,,467,0.497,22,0.422
E13,14,h,731,,374,0.497,22,0.422
E13,15,15,,6.454853484,,0.497,22,0.422
E13,16,16,849,9.870932488,339.38,0.497,22,0.422
E13,16,a,239,,334,0.497,22,0.422
E13,16,b,860,,450,0.497,22,0.422
E13,16,c,860,,312,0.497,22,0.422
E13,16,d,860,,350,0.497,22,0.422
E13,16,e,860,,432,0.497,22,0.422
E13,16,f,860,,471,0.497,22,0.422
E13,16,g,860,,344,0.497,22,0.422
E13,16,h,860,,400,0.497,22,0.422
E13,17,17,,6.516375562,,0.497,,
E13,18,18,891,7.406658004,544.8,0.497,22,0.422
E13,18,a,891,,363,0.497,22,0.422
E13,18,b,904,,445,0.497,22,0.422
E13,18,c,910,,449,0.497,22,0.422
E13,18,d,868,,529,0.497,22,0.422
E13,18,e,868,,405,0.497,22,0.422
E13,18,f,868,,496,0.497,22,0.422
E13,18,g,,,358,0.497,22,0.422
E13,18,h,868,,427,0.497,22,0.422
E13,19,19,1000,9.944029552,407.35,0.497,31,0.560
E13,19,a,1031,,443,0.497,31,0.560
E13,19,b,1031,,379,0.497,31,0.560
E13,20,20,965,10.20953743,386.46,0.497,31,0.560
E13,21,21,,6.33688502,,0.497,,
E13,22,22,1084,7.819810535,385.27,0.497,31,0.560
E13,23,23,1095,8.930428035,454.81,0.497,31,0.560
E13,23,a,1107,,433,0.497,31,0.560
E13,24,24,1479,10.52087445,374.01,0.497,33,0.500
E13,24,a,1449,,610,0.497,33,0.500
E13,24,b,1500,,287,0.497,33,0.500
E13,25,25,1171,8.476446575,408.76,0.497,32,0.256
E13,25,a,1162,,242,0.497,32,0.256
E13,25,b,1156,,401,0.497,32,0.256
E13,26,26,1149,9.324807538,435.25,0.497,32,0.256
E13,26,a,1132,,459,0.497,32,0.256
E13,26,b,1134,,410,0.497,32,0.256
E13,26,c,1138,,447,0.497,32,0.256
E13,26,d,1140,,454,0.497,32,0.256
E13,26,e,1140,,387,0.497,32,0.256
E13,27,27,1577,14.45647377,478.27,0.497,33,0.500
E13,27,a,193,,378,0.497,33,0.500
E13,27,b,,,472,0.497,33,0.500
E13,28,28,1538,8.083794075,434.18,0.497,33,0.500
E13,29,29,,10.41056677,,0.497,,
E13,30,30,1275,8.906927333,359.53,0.497,33,0.500
E13,30,a,1265,,368,0.497,33,0.500
E13,30,b,1243,,77,0.497,33,0.500
E13,31,31,1260,9.188220893,417.52,0.497,33,0.500
E13,31,a,1260,,414,0.497,33,0.500
E13,31,b,1260,,270,0.497,33,0.500
E13,32,32,1323,9.12548753,450.72,0.497,33,0.500
E13,32,a,1323,,348,0.497,33,0.500
E13,32,b,1322,,356,0.497,33,0.500
E13,32,c,1316,,371,0.497,33,0.500
E13,32,d,1316,,395,0.497,33,0.500
E13,32,e,1308,,386,0.497,33,0.500
E13,32,f,,,510,0.497,33,0.500
E13,32,g,1284,,287,0.497,33,0.500
E13,32,h,1285,,400,0.497,33,0.500
E13,32,i,1289,,409,0.497,33,0.500
E13,32,j,,,485,0.497,33,0.500
E13,33,33,1631,7.363845819,558.74,0.497,41,0.038
E13,34,34,36,8.343487763,573.76,0.497,51,0.196
E13,35,35,1351,14.78781197,416.86,0.497,33,0.500
E13,35,a,1351,,371,0.497,33,0.500
E13,35,b,1355,,435,0.497,33,0.500
E13,35,c,1343,,476,0.497,33,0.500
E13,35,d,1401,,441,0.497,33,0.500
E13,35,e,1329,,515,0.497,33,0.500
E13,35,f,1329,,381,0.497,33,0.500
E13,35,g,1329,,497,0.497,33,0.500
E13,35,h,1329,,458,0.497,33,0.500
E13,35,i,1329,,360,0.497,33,0.500
E13,36,36,98,7.259807592,397.77,0.497,51,0.196
E13,37,37,264,14.59426037,429.26,0.497,52,0.546
E13,37,a,265,,378,0.497,52,0.546
E13,37,b,258,,139,0.497,52,0.546
E13,37,c,242,,481,0.497,52,0.546
E13,37,d,242,,352,0.497,52,0.546
E13,37,e,243,,426,0.497,52,0.546
E13,37,f,243,,446,0.497,52,0.546
E13,37,g,237,,450,0.497,52,0.546
E13,37,h,223,,393,0.497,52,0.546
E13,37,i,312,,419,0.497,52,0.546
E13,37,j,253,,365,0.497,52,0.546
E13,37,k,226,,399,0.497,52,0.546
E13,37,l,283,,396,0.497,52,0.546
E13,37,m,288,,390,0.497,52,0.546
E13,38,a,961,,404,0.497,31,0.560
E13,38,b,961,,371,0.497,31,0.560
E13,38,c,958,,486,0.497,31,0.560
E13,38,d,957,,462,0.497,31,0.560
E13,38,e,957,,444,0.497,31,0.560
E13,38,f,954,,400,0.497,31,0.560
E13,39,a,984,,461,0.497,31,0.560
E13,39,b,984,,383,0.497,31,0.560
E13,39,c,984,,419,0.497,31,0.560
E13,39,d,981,,486,0.497,31,0.560
E13,39,e,981,,363,0.497,31,0.560
E13,,,,,308,0.497,11,0.200
E13,,,,,471,0.497,11,0.200
E13,,,,,347,0.497,11,0.200
E13,,,,,418,0.497,11,0.200
