id_fruit_suivi,arbre,id_charp_niv1,id_charp_niv2,id_charp_niv3,id_UC,MS_fruit,MF_recolte_fruit
1,E13,500,510,/,155,,484.21
2,E13,500,510,/,203,,464.97
4,E13,500,520,521,333,,335.54
6,E13,500,520,522,440,,351
8,E13,200,210,/,576,,406.11
9,E13,200,210,/,533,,457.58
10,E13,200,210,/,549,,391.94
11,E13,200,220,221,649,,456.34
12,E13,200,220,221,712,,386.74
13,E13,200,220,221,673,,380.32
14,E13,200,220,222,755,,464.4
15,E13,200,220,222,,,400
16,E13,200,220,222,849,,339.38
18,E13,200,220,223,891,,544.8
19,E13,300,310,/,1000,,407.35
20,E13,300,310,/,965,,386.46
22,E13,300,310,/,1084,,385.27
23,E13,300,310,/,1095,,454.81
24,E13,300,330,/,1479,,374.01
25,E13,300,320,323,1171,,408.76
26,E13,300,320,321,1149,,435.25
27,E13,300,330,/,1577,,478.27
28,E13,300,330,/,1538,,434.18
30,E13,300,330,/,1275,,359.53
31,E13,300,330,/,1260,,417.52
32,E13,300,330,/,1323,,450.72
33,E13,400,410,/,1631,,558.74
34,E13,500,510,/,36,,573.76
35,E13,300,330,/,1351,,416.86
36,E13,500,510,/,98,,397.77
37,E13,500,520,521,264,,429.26
38,E13,300,310,/,,,
39,E13,300,310,/,,,
11a,E13,200,220,221,654,,520
11b,E13,200,220,221,695,,301
13a,E13,200,220,221,673,,473
13b,E13,200,220,221,670,,476
14a,E13,200,220,222,753,,362
14b,E13,200,220,222,748,,363
14c,E13,200,220,222,748,,362
14d,E13,200,220,222,765,,452
14e,E13,200,220,222,765,,464
14f,E13,200,220,222,781,,508
14g,E13,200,220,222,782,,467
14h,E13,200,220,222,731,,374
16a,E13,200,220,222,843,,334
16b,E13,200,220,222,860,,450
16c,E13,200,220,222,860,,312
16d,E13,200,220,222,860,,350
16e,E13,200,220,222,860,,432
16f,E13,200,220,222,860,,471
16g,E13,200,220,222,860,,344
16h,E13,200,220,222,860,,400
18a,E13,200,220,223,891,,363
18b,E13,200,220,223,904,,445
18c,E13,200,220,223,910,,449
18d,E13,200,220,223,868,,529
18e,E13,200,220,223,868,,405
18f,E13,200,220,223,868,,496
18g,E13,200,220,223,868,,358
18h,E13,200,220,223,868,,427
19a,E13,300,310,,1031,,443
19b,E13,300,310,,1031,,379
23a,E13,300,310,,1107,,433
24b,E13,300,330,,1500,,
25a,E13,300,320,323,1162,,242
25b,E13,300,320,323,1156,,401
26a,E13,300,320,321,1132,,459
26b,E13,300,320,321,1134,,410
26c,E13,300,320,321,1138,,447
26d,E13,300,320,321,1140,,454
26e,E13,300,320,321,1140,,387
27a,E13,300,330,,,,378
27b,E13,300,330,,,,472
2a,E13,500,510,,193,,479
2b,E13,500,510,,134,,456
2c,E13,500,510,,134,,332
2d,E13,500,510,,134,,326
2e,E13,500,510,,134,,449
30a,E13,300,330,,1265,,368
30b,E13,300,330,,1243,,77
31a,E13,300,330,,1260,,414
31b,E13,300,330,,1260,,270
32a,E13,300,330,,1323,,348
32b,E13,300,330,,1322,,356
32c,E13,300,330,,1316,,371
32d,E13,300,330,,1316,,395
32e,E13,300,330,,1308,,386
32f,E13,300,330,,,,510
32g,E13,300,330,,1284,,287
32h,E13,300,330,,1285,,400
32i,E13,300,330,,1289,,409
32j,E13,300,330,,,,485
35a,E13,300,330,,1351,,371
35b,E13,300,330,,1355,,435
35c,E13,300,330,,1343,,476
35d,E13,300,330,,1401,,441
35e,E13,300,330,,1329,,515
35f,E13,300,330,,1329,,381
35g,E13,300,330,,1329,,497
35h,E13,300,330,,1329,,458
35i,E13,300,330,,1329,,360
37a,E13,500,520,521,265,,378
37b,E13,500,520,521,258,,139
37c,E13,500,520,521,242,,481
37d,E13,500,520,521,242,,352
37e,E13,500,520,521,243,,426
37f,E13,500,520,521,243,,446
37g,E13,500,520,521,237,,450
37h,E13,500,520,521,223,,393
37i,E13,500,520,521,,,419
37j,E13,500,520,521,253,,365
37k,E13,500,520,521,226,,399
37l,E13,500,520,521,283,,396
37m,E13,500,520,521,288,,390
38a,E13,300,310,,961,,404
38b,E13,300,310,,961,,371
38c,E13,300,310,,958,,486
38d,E13,300,310,,957,,462
38e,E13,300,310,,957,,444
38f,E13,300,310,,954,,400
39a,E13,300,310,,984,,461
39b,E13,300,310,,984,,383
39c,E13,300,310,,984,,419
39d,E13,300,310,,981,,486
39e,E13,300,310,,981,,363
4a,E13,500,520,521,333,,364
4b,E13,500,520,521,333,,389
4c,E13,500,520,521,322,,398
4d,E13,500,520,521,351,,309
6a,E13,500,520,522,454,,384
6b,E13,500,520,522,456,,416
6c,E13,500,520,522,454,,358
6d,E13,500,520,522,453,,342
8a,E13,200,210,,603,,542
8b,E13,200,210,,491,,412
9a,E13,200,210,,533,,390
9b,E13,200,210,,531,,520
9c,E13,200,210,,537,,381
9d,E13,200,210,,510,,463
9e,E13,200,210,,523,,
9f,E13,200,210,,518,,406
9k,E13,,??,,,,416
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
