id,parent_id,topology__is_apical,arch_dev__pot_flowering_date,arch_dev__pot_nb_inflo,arch_dev__pot_nb_fruit,growth__nb_leaf,growth__radius_gu,appearance__final_length_gu,light_interception__sunlit_fraction_col,environment_id
0,NA,NA,NaT,NA,NA,0,1.680,1,3,mean
1,0,1,NaT,NA,NA,0,1.680,NA,3,mean
2,1,0,NaT,NA,NA,0,0.968,5,3,mean
3,2,0,NaT,NA,NA,0,0.874,6,3,mean
4,3,1,NaT,NA,NA,0,NA,4,3,mean
5,4,1,NaT,NA,NA,0,NA,3,3,mean
6,5,1,NaT,NA,NA,0,NA,8,3,mean
7,6,1,NaT,NA,NA,0,NA,10,3,mean
8,7,1,NaT,NA,NA,0,NA,5,3,mean
9,8,0,NaT,NA,NA,4,0.365,5,3,F14_28C
10,8,0,NaT,NA,NA,3,0.360,3,3,F14_28C
11,10,1,NaT,NA,NA,5,NA,4,3,F14_28C
12,4,0,NaT,NA,NA,5,0.273,6,3,F14_28C
13,6,0,NaT,NA,NA,0,0.588,14,3,mean
14,13,1,NaT,NA,NA,0,NA,6,3,mean
15,14,1,NaT,NA,NA,6,NA,5,3,F14_28C
16,15,1,NaT,NA,NA,7,NA,4,3,F14_28C
17,1,0,NaT,NA,NA,0,1.536,NA,3,mean
18,17,1,NaT,NA,NA,0,NA,7,3,mean
19,18,1,NaT,NA,NA,0,NA,7,3,mean
20,19,1,NaT,NA,NA,0,NA,4,3,mean
21,20,1,NaT,NA,NA,0,NA,8,3,mean
22,21,0,NaT,NA,NA,0,0.410,10,3,mean
23,22,1,NaT,NA,NA,6,NA,5,3,F14_28B
24,21,0,NaT,NA,NA,0,0.528,10,3,F14_28B
25,24,1,NaT,NA,NA,8,NA,7,3,F14_28B
26,25,1,NaT,NA,NA,2,NA,4,3,F14_28B
27,21,0,NaT,NA,NA,0,0.545,11,3,F14_28B
28,27,0,NaT,NA,NA,4,0.349,4,3,F14_28B
29,28,1,NaT,NA,NA,4,NA,3,3,F14_28B
30,21,0,NaT,NA,NA,0,0.996,17,3,mean
31,30,1,NaT,NA,NA,0,NA,9,3,mean
32,31,1,NaT,NA,NA,0,NA,7,3,mean
33,32,0,NaT,NA,NA,2,0.288,2,3,F14_28A
34,32,0,NaT,NA,NA,0,0.609,3,3,mean
35,34,1,NaT,NA,NA,6,NA,6,3,F14_28A
36,35,1,NaT,NA,NA,11,NA,6,3,F14_28A
37,32,0,NaT,NA,NA,3,0.629,3,3,F14_28A
38,37,1,NaT,NA,NA,3,NA,3,3,F14_28A
39,38,1,NaT,NA,NA,6,NA,3,3,F14_28A
40,39,1,2002-09-11,1,1,8,NA,6,3,F14_28A
41,20,0,NaT,NA,NA,0,0.504,9,3,F14_28C
42,41,0,NaT,NA,NA,9,0.353,7,3,F14_28C
