id,parent_id,topology__is_apical,arch_dev__pot_flowering_date,arch_dev__pot_nb_inflo,arch_dev__pot_nb_fruit,growth__nb_leaf,growth__radius_gu,appearance__final_length_gu,light_interception__sunlit_fraction_col
0,NA,1,NAT,NA,NA,0,1.0996,66,3
1,0,0,NAT,NA,NA,0,0.3722,12,3
2,0,0,NAT,NA,NA,0,NA,NA,3
3,0,0,NAT,NA,NA,0,0.5725,NA,3
4,3,0,NAT,NA,NA,0,0.564,7,3
5,3,0,NAT,NA,NA,NA,NA,NA,3
6,3,0,NAT,NA,NA,NA,NA,NA,3
7,4,1,NAT,NA,NA,0,NA,10,3
8,7,1,NAT,NA,NA,0,NA,11,3
9,8,1,NAT,NA,NA,0,NA,9,3
10,8,0,NAT,NA,NA,0,0.154,10,3
11,8,0,NAT,NA,NA,6,0.0535,6,3
12,8,0,NAT,NA,NA,6,0.0628,7,3
13,8,0,NAT,NA,NA,0,NA,13,3
14,13,1,NAT,NA,NA,0,0.2317,15,3
15,14,0,NAT,NA,NA,0,0.2114,13,3
16,15,0,2020-09-12,1,1,32,0.1309,37,3
17,15,0,NAT,NA,NA,3,0.0446,8,3
18,14,0,2020-09-12,1,1,10,0.0658,17,3
19,14,0,NAT,NA,NA,13,0.0687,20,3
20,14,0,NAT,NA,NA,26,0.1118,35,3
21,14,0,NAT,NA,NA,12,0.078,27,3
22,13,0,2020-09-12,1,1,16,0.1032,37,3
23,8,0,NAT,NA,NA,0,0.2072,38,3
24,23,0,2020-09-12,2,2,NA,0.1232,NA,3
25,23,0,NAT,NA,NA,NA,0.16,67,3
26,10,0,NAT,NA,NA,1,NA,15,3
27,26,1,NAT,NA,NA,10,0.0543,8,3
28,10,0,NAT,NA,NA,0,NA,15,3
29,28,1,NAT,NA,NA,0,NA,14,3
30,29,1,NAT,NA,NA,0,NA,8,3
31,30,1,NAT,NA,NA,9,NA,7,3
32,31,1,NAT,NA,NA,11,NA,4,3
33,32,1,2020-09-12,1,1,14,0.0913,13,3
34,1,1,NAT,NA,NA,0,NA,22,3
35,34,1,NAT,NA,NA,0,0.3078,7,3
36,35,1,NAT,NA,NA,0,0.2845,40,3
37,36,0,NAT,NA,NA,NA,0.2088,NA,3
38,36,0,NAT,NA,NA,NA,0.1846,NA,3
39,35,0,NAT,NA,NA,2,0.0361,3,3
40,35,0,2020-09-12,1,1,NA,0.1039,NA,3
41,34,0,NAT,NA,NA,0,0.2192,22,3
42,34,0,NAT,NA,NA,10,0.0701,14,3
43,41,1,NAT,NA,NA,0,NA,18,3
44,43,1,NAT,NA,NA,0,NA,16,3
45,44,0,NAT,NA,NA,2,NA,3,3
46,45,1,2020-09-12,1,1,6,0.0579,6,3
47,44,0,NAT,NA,NA,0,NA,4,3
48,47,1,NAT,NA,NA,0,NA,5,3
49,48,1,NAT,NA,NA,0,NA,6,3
50,49,1,NAT,NA,NA,0,NA,13,3
51,50,0,NAT,NA,NA,9,NA,0,3
52,51,0,NAT,NA,NA,7,0.0382,4,3
53,50,0,NAT,NA,NA,2,0.0319,3,3
54,49,0,NAT,NA,NA,6,NA,5,3
55,54,1,2020-09-12,1,1,0,0.0409,4,3
56,44,0,NAT,NA,NA,0,NA,6,3
57,56,1,NAT,NA,NA,0,NA,3,3
58,57,1,NAT,NA,NA,0,NA,6,3
59,58,1,NAT,NA,NA,0,NA,18,3
60,59,0,NAT,NA,NA,0,NA,12,3
61,60,0,NAT,NA,NA,0,NA,15,3
62,61,0,NAT,NA,NA,8,0.0416,5,3
63,61,0,NAT,NA,NA,3,0.0293,3,3
64,59,0,NAT,NA,NA,0,NA,14,3
65,64,1,NAT,NA,NA,0,NA,18,3
66,65,0,NAT,NA,NA,0,NA,2,3
67,66,1,NAT,NA,NA,1,0.0358,3,3
68,65,0,NAT,NA,NA,0,NA,2,3
69,68,1,NAT,NA,NA,3,0.0328,3,3
70,56,0,NAT,NA,NA,0,NA,5,3
71,70,1,NAT,NA,NA,0,NA,19,3
72,71,0,NAT,NA,NA,2,0.0351,3,3
73,71,0,NAT,NA,NA,0,NA,8,3
74,73,0,NAT,NA,NA,0,NA,6,3
75,74,0,NAT,NA,NA,7,0.0405,3,3
76,43,0,NAT,NA,NA,6,0.0439,7,3
77,43,0,NAT,NA,NA,10,NA,11,3
78,77,1,NAT,NA,NA,10,NA,11,3
