id,type,parent_id,scaffold_id,topology__is_apical,arch_dev__pot_flowering_date,arch_dev__pot_nb_inflo,arch_dev__pot_nb_fruit,id_fruit,fruit_mass,growth__nb_leaf,growth__radius_gu,appearance__final_length_gu,environment_id,light_interception__sunlit_fraction_col
0,trunk,NA,NA,1,NaT,NA,NA,NA,,0,14.8,44,,NA
1,trunk,0,NA,1,NaT,NA,NA,NA,,0,14.8,35,,NA
2,scaffold,1,2,0,NaT,NA,NA,NA,,0,8.59,20,,NA
3,scaffold,2,3,0,NaT,NA,NA,NA,,0,3.82,12,,NA
4,GU,3,3,0,NaT,NA,NA,NA,,0,1.6525,17,,NA
5,GU,3,3,0,NaT,NA,NA,NA,,0,2.82,26,,NA
6,GU,5,3,0,NaT,NA,NA,NA,,0,1.6995,9,,NA
7,GU,5,3,0,NaT,NA,NA,NA,,0,2.4255,14,,NA
8,GU,7,3,1,NaT,NA,NA,NA,,0,2.4925,12,,NA
9,GU,3,3,0,NaT,NA,NA,NA,,0,0.919,11,,NA
10,branch,9,3,0,NaT,NA,NA,NA,,NA,0.2035,NA,,NA
11,branch,9,3,0,NaT,NA,NA,NA,,NA,0.4575,NA,,NA
12,GU,4,3,1,NaT,NA,NA,NA,,0,NA,11,,NA
13,GU,12,3,1,NaT,NA,NA,NA,,0,1.4425,20,,NA
14,GU,13,3,0,NaT,NA,NA,NA,,2,NA,10,E13_34A,3
15,GU,14,3,0,NaT,NA,NA,NA,,6,0.221,11,E13_34A,3
16,GU,14,3,0,NaT,NA,NA,NA,,6,0.196,10,E13_34A,3
17,GU,14,3,0,NaT,NA,NA,NA,,9,0.2835,14,E13_34A,3
18,GU,13,3,0,NaT,NA,NA,NA,,0,NA,11,,NA
19,GU,18,3,1,NaT,NA,NA,NA,,0,NA,4,,NA
20,GU,19,3,1,NaT,NA,NA,NA,,0,NA,8,,NA
21,GU,20,3,1,NaT,NA,NA,NA,,0,NA,21,,NA
22,GU,21,3,1,NaT,NA,NA,NA,,0,NA,10,,NA
23,GU,22,3,0,NaT,NA,NA,NA,,0,NA,14,,NA
24,GU,23,3,1,NaT,NA,NA,NA,,0,0.664,4,,NA
25,GU,24,3,0,NaT,NA,NA,NA,,5,0.1835,5,E13_34F,3
26,GU,23,3,0,NaT,NA,NA,NA,,0,0.583,7,,NA
27,GU,26,3,0,NaT,NA,NA,NA,,3,0.108,2,E13_34F,3
28,GU,26,3,0,NaT,NA,NA,NA,,0,NA,6,,NA
29,GU,28,3,1,NaT,NA,NA,NA,,5,0.2215,5,E13_34F,3
30,GU,23,3,0,NaT,NA,NA,NA,,1,NA,10,,NA
31,GU,30,3,1,NaT,NA,NA,NA,,7,0.246,7,E13_34F,3
32,GU,22,3,0,NaT,NA,NA,NA,,0,NA,14,,NA
33,GU,32,3,0,NaT,NA,NA,NA,,0,NA,8,,NA
34,GU,33,3,1,NaT,NA,NA,NA,,6,0.1955,6,E13_34C,3
35,GU,32,3,0,NaT,NA,NA,NA,,0,NA,5,,NA
36,GU,35,3,1,2020-09-12,1,1,34,573.76,4,0.188,4,E13_34C,3
37,GU,35,3,0,NaT,NA,NA,NA,,3,0.1375,3,,NA
38,GU,22,3,0,NaT,NA,NA,NA,,0,NA,13,,NA
39,GU,38,3,0,NaT,NA,NA,NA,,1,NA,6,E13_34D,3
40,GU,39,3,1,NaT,NA,NA,NA,,1,0.186,3,E13_34D,3
41,GU,38,3,0,NaT,NA,NA,NA,,2,NA,6,E13_34D,3
42,GU,41,3,1,NaT,NA,NA,NA,,7,0.219,5,E13_34D,3
43,GU,22,3,0,NaT,NA,NA,NA,,0,NA,13,,NA
44,GU,43,3,0,NaT,NA,NA,NA,,0,NA,5,,NA
45,GU,44,3,0,NaT,NA,NA,NA,,3,0.1825,5,E13_34E,3
46,GU,44,3,0,NaT,NA,NA,NA,,0,NA,3,,NA
47,GU,46,3,1,NaT,NA,NA,NA,,0,NA,4,,NA
48,GU,47,3,0,NaT,NA,NA,NA,,3,0.1475,3,E13_34E,3
49,GU,21,3,0,NaT,NA,NA,NA,,0,NA,9,,NA
50,GU,49,3,0,NaT,NA,NA,NA,,2,0.1645,7,E13_34B,3
51,GU,49,3,0,NaT,NA,NA,NA,,1,NA,5,E13_34B,3
52,GU,51,3,1,NaT,NA,NA,NA,,7,0.1965,7,E13_34B,3
53,GU,6,3,1,NaT,NA,NA,NA,,0,NA,14,,NA
54,GU,53,3,1,NaT,NA,NA,NA,,0,NA,10,,NA
55,GU,54,3,1,NaT,NA,NA,NA,,0,NA,14,,NA
56,GU,55,3,1,NaT,NA,NA,NA,,0,NA,20,,NA
57,GU,56,3,1,NaT,NA,NA,NA,,0,1.555,23,,NA
58,GU,57,3,0,NaT,NA,NA,NA,,6,0.1895,10,E13_36E,3
59,GU,57,3,0,NaT,NA,NA,NA,,11,0.333,17,E13_36E,3
60,GU,57,3,0,NaT,NA,NA,NA,,0,NA,13,,NA
