id,type,parent_id,scaffold_id,topology__is_apical,arch_dev__pot_flowering_date,arch_dev__pot_nb_inflo,arch_dev__pot_nb_fruit,growth__nb_leaf,growth__radius_gu,appearance__final_length_gu,environment_id,light_interception__sunlit_fraction_col
0,trunk,NA,NA,NA,NAT,NA,NA,0,15.12,79,NA,3
1,trunk,0,NA,1,NAT,NA,NA,0,15.12,37,NA,3
2,scaffold,1,2,0,NAT,NA,NA,0,6.53,79,NA,3
3,scaffold,2,2,1,NAT,NA,NA,0,6.3,75,NA,3
4,multiple_GU,3,2,0,NAT,NA,NA,0,4.35,40,NA,3
5,GU,4,2,0,NAT,NA,NA,0,3.3,12,NA,3
6,branch_empty,4,2,0,NAT,NA,NA,0,2.85,NA,NA,3
7,multiple_GU,3,2,0,NAT,NA,NA,0,4.3,44,NA,3
8,multiple_GU,7,2,1,NAT,NA,NA,0,4,23,NA,3
9,GU,8,2,1,NAT,NA,NA,0,2.705,10,NA,3
10,branch_empty,8,2,0,NAT,NA,NA,0,3.3,NA,NA,3
11,GU,7,2,0,NAT,NA,NA,0,1.077,10,NA,3
12,GU,5,2,1,NAT,NA,NA,0,3.10783265702677,16,NA,3
13,GU,12,2,1,NAT,NA,NA,0,2.57447080449382,15,NA,3
14,GU,13,2,0,NAT,NA,NA,0,1.4845,8,NA,3
15,GU,13,2,0,NAT,NA,NA,0,2.3627145071168,10,NA,3
16,GU,15,2,1,NAT,NA,NA,0,2.27462630518202,12,NA,3
17,GU,16,2,0,NAT,NA,NA,0,2.144,10,NA,3
18,branch,16,2,0,NAT,NA,NA,104,0.895,20,NA,3
19,branch,16,2,0,NAT,NA,NA,397,1.748,20,NA,3
20,GU,12,2,0,NAT,NA,NA,0,2.17877791614969,6,NA,3
21,GU,20,2,1,NAT,NA,NA,0,2.0966130579988,11,NA,3
22,GU,21,2,1,NAT,NA,NA,0,2.0170664479435,13,NA,3
23,GU,22,2,0,NAT,NA,NA,0,1.427,8,NA,3
24,GU,22,2,0,NAT,NA,NA,0,1.649,6,NA,3
25,GU,14,2,1,NAT,NA,NA,0,1.51480954006822,9,NA,3
26,GU,25,2,1,NAT,NA,NA,0,1.45303601205559,8,NA,3
27,GU,26,2,0,NAT,NA,NA,0,0.941189112126811,5,NA,3
28,GU,27,2,1,NAT,NA,NA,0,0.893859091294498,8,NA,3
29,GU,28,2,1,NAT,NA,NA,0,0.847395576157879,9,NA,3
30,GU,29,2,1,NAT,NA,NA,0,0.801695178061044,6,NA,3
31,GU,30,2,1,NAT,NA,NA,0,0.756645433275922,7,NA,3
32,GU,31,2,1,NAT,NA,NA,0,0.712121658830426,10,NA,3
33,GU,32,2,1,NAT,NA,NA,0,0.712,9,NA,3
34,GU,33,2,0,NAT,NA,NA,2,0.389839502953712,19,E16_01A,3
35,GU,34,2,0,NAT,NA,NA,5,0.230387131971134,7,E16_01A,3
36,GU,35,2,1,NAT,NA,NA,1,0.1525,2,E16_01A,3
37,GU,34,2,0,NAT,NA,NA,5,0.254273596015561,9,E16_01A,3
38,GU,37,2,1,NAT,NA,NA,9,0.1845,5,E16_01A,3
39,GU,33,2,0,NAT,NA,NA,0,0.460825572021799,11,NA,3
40,GU,39,2,0,NAT,NA,NA,2,0.277158244091141,6,E16_01A,3
41,GU,40,2,1,2020-09-12,1,1,6,0.213,6,E16_01A,3
42,GU,39,2,0,NAT,NA,NA,5,0.157,7,E16_01A,3
43,GU,39,2,0,NAT,NA,NA,2,0.293075582578428,6,E16_01A,3
44,GU,43,2,1,NAT,NA,NA,9,0.232,8,E16_01A,3
45,GU,33,2,0,NAT,NA,NA,0,0.225128720653063,15,NA,3
46,GU,45,2,0,NAT,NA,NA,3,0.145,7,E16_01B,3
47,GU,32,2,0,NAT,NA,NA,7,0.177,10,E16_01B,3
