id,type,parent_id,scaffold_id,topology__is_apical,arch_dev__pot_flowering_date,arch_dev__pot_nb_inflo,arch_dev__pot_nb_fruit,id_fruit,fruit_fresh_mass,fruit_dry_mass,growth__nb_leaf,growth__radius_gu,appearance__final_length_gu,environment_id,light_interception__sunlit_fraction_col
0,trunk,NA,NA,NA,NAT,NA,NA,,NA,NA,0,14.3,68,NA,3
1,scaffold,0,1,0,NAT,NA,NA,,NA,NA,0,6.21,29,NA,3
2,scaffold,1,1,1,NAT,NA,NA,,NA,NA,0,5.9,66,NA,3
3,GU,2,1,0,NAT,NA,NA,,NA,NA,0,2.1085,12,NA,3
4,multiple_GU,2,1,1,NaT,NA,NA,,NA,NA,0,4.6,61,NA,3
5,multiple_GU,4,1,0,NaT,NA,NA,,NA,NA,0,3.35,41,NA,3
6,branch_empty,4,1,0,NaT,NA,NA,,NA,NA,0,2.9,20,NA,3
7,branch_empty,4,1,0,NaT,NA,NA,,NA,NA,0,2.9,20,NA,3
8,GU,5,1,0,NAT,NA,NA,,NA,NA,0,2.613,20,NA,3
9,branch_empty,5,1,0,NAT,NA,NA,,NA,NA,0,2.52963603544659,20,NA,3
10,GU,8,1,1,NAT,NA,NA,,NA,NA,0,2.6,22,NA,3
11,branch_empty,8,1,0,NAT,NA,NA,,NA,NA,0,0.85,20,NA,3
12,branch_empty,10,1,0,NAT,NA,NA,,NA,NA,0,1.75,20,NA,3
13,GU,10,1,0,NAT,NA,NA,,NA,NA,0,1.7705,18,NA,3
14,GU,13,1,1,NAT,NA,NA,,NA,NA,0,1.22298222563672,20,NA,3
15,GU,14,1,1,NAT,NA,NA,,NA,NA,0,1.42099283198016,7,NA,3
16,GU,15,1,1,NAT,NA,NA,,NA,NA,0,1.49984213345175,10,NA,3
17,GU,16,1,1,NAT,NA,NA,,NA,NA,0,1.4385,15,NA,3
18,GU,17,1,0,NAT,NA,NA,,NA,NA,0,0.7885,18,NA,3
19,GU,17,1,0,NAT,NA,NA,,NA,NA,0,1.186,15,NA,3
20,GU,17,1,0,NAT,NA,NA,,NA,NA,0,0.395391316224504,12,NA,3
21,GU,20,1,0,NAT,NA,NA,,NA,NA,7,0.1665,10,G3_02F,3
22,GU,20,1,0,NAT,NA,NA,,NA,NA,8,0.164,9,G3_02F,3
23,GU,20,1,0,NAT,NA,NA,,NA,NA,6,0.1985,10,G3_02F,3
24,GU,17,1,0,NAT,NA,NA,,NA,NA,0,0.325298790777645,10,NA,3
25,GU,24,1,0,NAT,NA,NA,,NA,NA,8,0.2075,9,G3_02F,3
26,GU,24,1,0,NAT,NA,NA,,NA,NA,5,0.1415,6,G3_02F,3
27,GU,17,1,0,NAT,NA,NA,,NA,NA,0,0.564968732405962,15,NA,3
28,GU,27,1,0,NAT,NA,NA,,NA,NA,5,0.323449689307105,9,G3_02G,3
29,GU,28,1,1,NAT,NA,NA,,NA,NA,3,0.266960558702376,12,G3_02G,3
30,GU,29,1,1,NAT,NA,NA,,NA,NA,8,0.2005,10,G3_02G,3
31,GU,27,1,0,NAT,NA,NA,,NA,NA,0,0.459477967134276,5,NA,3
32,GU,31,1,1,NAT,NA,NA,,NA,NA,12,0.412885750795406,9,G3_02G,3
33,GU,32,1,1,NAT,NA,NA,,NA,NA,12,0.364160476559009,16,G3_02G,3
34,GU,33,1,1,NAT,NA,NA,,NA,NA,15,0.312,18,G3_02G,3
35,GU,15,1,0,NAT,NA,NA,,NA,NA,0,0.28159273443735,8,NA,3
36,GU,35,1,0,NAT,NA,NA,,NA,NA,0,0.218350834903109,6,NA,3
37,GU,36,1,1,NAT,NA,NA,,NA,NA,5,0.135,4,G3_02H,3
38,GU,14,1,0,NAT,NA,NA,,NA,NA,0,0.357654204880257,8,NA,3
