id,type,parent_id,topology__is_apical,arch_dev__pot_flowering_date,arch_dev__pot_nb_inflo,arch_dev__pot_nb_fruit,growth__nb_leaf,growth__radius_gu,appearance__final_length_gu,environment_id,light_interception__sunlit_fraction_col
0,trunk,NA,NA,NAT,NA,NA,0,14.3,,NA,3
1,scaffold,0,0,NAT,NA,NA,0,6.21,,NA,3
2,scaffold,1,1,NAT,NA,NA,0,5.9,,NA,3
3,GU,2,0,NAT,NA,NA,0,2.1085,,NA,3
4,multiple_GU,2,1,NaT,NA,NA,0,4.6,,NA,3
5,multiple_GU,4,0,NaT,NA,NA,0,3.35,,NA,3
6,branch_empty,4,0,NaT,NA,NA,0,2.9,,NA,3
7,branch_empty,4,0,NaT,NA,NA,0,2.9,,NA,3
8,GU,5,0,NAT,NA,NA,0,2.613,,NA,3
9,branch_empty,5,0,NAT,NA,NA,0,NA,NA,NA,3
10,GU,8,1,NAT,NA,NA,0,2.6,22,NA,3
11,branch_empty,8,0,NAT,NA,NA,0,0.85,NA,NA,3
12,branch_empty,10,0,NAT,NA,NA,0,1.75,NA,NA,3
13,GU,10,0,NAT,NA,NA,0,1.7705,18,NA,3
14,GU,13,1,NAT,NA,NA,0,NA,20,NA,3
15,GU,14,1,NAT,NA,NA,0,NA,7,NA,3
16,GU,15,1,NAT,NA,NA,0,NA,10,NA,3
17,GU,16,1,NAT,NA,NA,0,1.4385,15,NA,3
18,GU,17,0,NAT,NA,NA,0,0.7885,18,NA,3
19,GU,17,0,NAT,NA,NA,0,1.186,15,NA,3
20,GU,17,0,NAT,NA,NA,0,NA,12,NA,3
21,GU,20,0,NAT,NA,NA,7,0.1665,10,G3_02F,3
22,GU,20,0,NAT,NA,NA,8,0.164,9,G3_02F,3
23,GU,20,0,NAT,NA,NA,6,0.1985,10,G3_02F,3
24,GU,17,0,NAT,NA,NA,0,NA,10,NA,3
25,GU,24,0,NAT,NA,NA,8,0.2075,9,G3_02F,3
26,GU,24,0,NAT,NA,NA,5,0.1415,6,G3_02F,3
27,GU,17,0,NAT,NA,NA,0,NA,15,NA,3
28,GU,27,0,NAT,NA,NA,5,NA,9,G3_02G,3
29,GU,28,1,NAT,NA,NA,3,NA,12,G3_02G,3
30,GU,29,1,NAT,NA,NA,8,0.2005,10,G3_02G,3
31,GU,27,0,NAT,NA,NA,0,NA,5,NA,3
32,GU,31,1,NAT,NA,NA,12,NA,9,G3_02G,3
33,GU,32,1,NAT,NA,NA,12,NA,16,G3_02G,3
34,GU,33,1,NAT,NA,NA,15,0.312,18,G3_02G,3
35,GU,15,0,NAT,NA,NA,0,NA,8,NA,3
36,GU,35,0,NAT,NA,NA,0,NA,6,NA,3
37,GU,36,1,NAT,NA,NA,5,0.135,4,G3_02H,3
38,GU,14,0,NAT,NA,NA,0,NA,8,NA,3
